Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
89.0,86,86,57,0.6491228070175439
89.5,86,86,57,0.6491228070175439
90.0,86,86,57,0.6491228070175439
90.5,88,88,59,0.6271186440677966
91.0,89,89,60,0.6166666666666667
91.5,92,92,66,2.212121212121212
92.0,94,94,69,3.101449275362319
92.5,96,96,71,3.0140845070422535
93.0,98,98,73,2.9315068493150687
93.5,98,98,73,2.9315068493150687
94.0,101,101,74,2.891891891891892
94.5,102,102,74,2.891891891891892
95.0,105,105,75,2.8533333333333335
95.5,108,108,77,2.779220779220779
96.0,109,109,78,2.7435897435897436
96.5,110,110,79,2.7088607594936707
97.0,110,110,79,2.7088607594936707
97.5,110,110,79,2.7088607594936707
98.0,112,112,80,2.675
98.5,116,116,82,2.6097560975609757
99.0,122,122,86,2.5
99.5,125,125,86,2.5
100.0,125,125,86,2.5
100.5,125,125,87,2.4885057471264367
101.0,131,131,91,2.379120879120879
101.5,132,132,91,2.379120879120879
102.0,132,132,91,2.379120879120879
102.5,132,132,91,2.379120879120879
103.0,133,133,92,2.3532608695652173
103.5,133,133,92,2.3532608695652173
104.0,134,134,93,2.327956989247312
104.5,135,135,94,2.3031914893617023
105.0,140,140,96,2.2552083333333335
105.5,141,141,97,2.231958762886598
106.0,142,142,98,2.2091836734693877
106.5,145,145,101,2.1435643564356437
107.0,146,146,102,2.122549019607843
107.5,149,149,105,2.723809523809524
108.0,153,153,108,3.189814814814815
108.5,157,157,110,3.2636363636363637
109.0,157,157,110,3.2636363636363637
109.5,158,158,111,3.234234234234234
110.0,159,159,112,3.205357142857143
110.5,160,160,114,3.692982456140351
111.0,161,161,117,3.7606837606837606
111.5,161,161,117,3.7606837606837606
112.0,162,162,118,3.7288135593220337
112.5,162,162,119,4.1722689075630255
113.0,162,162,120,4.254166666666666
113.5,163,163,121,4.2190082644628095
114.0,163,163,121,4.2190082644628095
114.5,163,163,122,4.241803278688525
115.0,163,163,123,4.2682926829268295
115.5,163,163,123,4.2682926829268295
116.0,163,163,123,4.2682926829268295
116.5,163,163,124,4.298387096774194
117.0,163,163,125,4.392
117.5,163,163,126,4.638888888888889
118.0,163,163,126,4.638888888888889
118.5,163,163,126,4.638888888888889
119.0,163,163,126,4.638888888888889
119.5,163,163,126,4.638888888888889
120.0,163,163,127,5.15748031496063
120.5,163,163,127,5.15748031496063
121.0,163,163,127,5.15748031496063
121.5,163,163,127,5.15748031496063
122.0,163,163,127,5.15748031496063
122.5,163,163,127,5.15748031496063
123.0,163,163,127,5.15748031496063
123.5,164,164,128,5.1171875
124.0,164,164,129,5.3023255813953485
124.5,164,164,129,5.3023255813953485
125.0,164,164,129,5.3023255813953485
125.5,165,165,130,5.2615384615384615
126.0,165,165,130,5.2615384615384615
126.5,165,165,131,5.877862595419847
127.0,166,166,133,6.327067669172933
127.5,169,169,137,6.306569343065694
128.0,174,174,139,6.215827338129497
128.5,177,177,140,6.171428571428572
129.0,178,178,140,6.171428571428572
129.5,178,178,140,6.171428571428572
