Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
86.0,337,337,52,38.39423076923077
86.5,337,337,52,38.39423076923077
87.0,337,337,53,39.235849056603776
87.5,337,337,54,40.05555555555556
88.0,337,337,54,40.05555555555556
88.5,337,337,55,40.86363636363637
89.0,337,337,57,42.41228070175438
89.5,337,337,57,42.41228070175438
90.0,337,337,57,42.41228070175438
90.5,337,337,59,43.90677966101695
91.0,337,337,60,44.625
91.5,337,337,66,46.25
92.0,337,337,69,48.06521739130435
92.5,337,337,71,49.20422535211268
93.0,337,337,73,50.294520547945204
93.5,337,337,73,50.294520547945204
94.0,337,337,74,50.1554054054054
94.5,337,337,74,50.1554054054054
95.0,337,337,75,50.7
95.5,337,337,77,51.75974025974026
96.0,337,337,78,52.27564102564103
96.5,337,337,79,52.78481012658228
97.0,337,337,79,52.78481012658228
97.5,337,337,79,52.78481012658228
98.0,337,337,80,53.3
98.5,337,337,82,54.30487804878049
99.0,337,337,86,55.616279069767444
99.5,337,337,86,55.616279069767444
100.0,337,337,86,55.616279069767444
100.5,337,337,87,56.08620689655172
101.0,337,337,91,57.33516483516483
101.5,337,337,91,57.33516483516483
102.0,337,337,91,57.33516483516483
102.5,337,337,91,57.33516483516483
103.0,337,337,92,57.244565217391305
103.5,337,337,92,57.244565217391305
104.0,337,337,93,57.166666666666664
104.5,337,337,94,57.09574468085106
105.0,337,337,96,57.489583333333336
105.5,337,337,97,57.94329896907217
106.0,337,337,98,57.88265306122449
106.5,337,337,101,58.71287128712871
107.0,337,337,102,59.14705882352941
107.5,362,362,105,59.42857142857143
108.0,373,373,108,59.245370370370374
108.5,373,373,110,60.06818181818182
109.0,373,373,110,60.06818181818182
109.5,373,373,111,60.47747747747748
110.0,373,373,112,60.88392857142857
110.5,373,373,114,61.68421052631579
111.0,373,373,117,62.84615384615385
111.5,373,373,117,62.84615384615385
112.0,373,373,118,63.228813559322035
112.5,373,373,119,63.609243697478995
113.0,373,373,120,63.9875
113.5,373,373,121,64.36363636363636
114.0,373,373,121,64.36363636363636
114.5,373,373,122,64.74180327868852
115.0,373,373,123,65.1178861788618
115.5,373,373,123,65.1178861788618
116.0,373,373,123,65.1178861788618
116.5,373,373,124,65.5
117.0,373,373,125,65.48
117.5,373,373,126,65.46428571428571
118.0,373,373,126,65.46428571428571
118.5,373,373,126,65.46428571428571
119.0,373,373,126,65.46428571428571
119.5,373,373,126,65.46428571428571
120.0,373,373,127,65.46850393700787
120.5,373,373,127,65.46850393700787
121.0,373,373,127,65.46850393700787
121.5,373,373,127,65.46850393700787
122.0,373,373,127,65.46850393700787
122.5,373,373,127,65.46850393700787
123.0,373,373,127,65.46850393700787
123.5,373,373,128,65.5
124.0,373,373,129,65.92248062015504
124.5,373,373,129,65.92248062015504
125.0,373,373,129,65.92248062015504
125.5,373,373,130,66.35
126.0,373,373,130,66.35
126.5,373,373,131,66.77862595419847
127.0,373,373,133,66.87218045112782
127.5,373,373,137,67.7956204379562
128.0,373,373,139,67.85971223021583
128.5,373,373,140,68.26428571428572
129.0,373,373,140,68.26428571428572
129.5,373,373,140,68.26428571428572
130.0,373,373,142,68.72535211267606
130.5,373,373,142,68.72535211267606
131.0,373,373,142,68.72535211267606
131.5,373,373,143,69.13636363636364
132.0,373,373,143,69.13636363636364
132.5,373,373,144,69.54861111111111
133.0,373,373,144,69.54861111111111
133.5,373,373,144,69.54861111111111
134.0,373,373,144,69.54861111111111
134.5,373,373,144,69.54861111111111
135.0,373,373,146,69.33904109589041
135.5,373,373,147,69.421768707483
136.0,380,380,149,69.3758389261745
136.5,391,391,149,69.3758389261745
137.0,391,391,150,69.8
137.5,391,391,151,69.8907284768212
138.0,391,391,151,69.8907284768212
138.5,391,391,151,69.8907284768212
139.0,391,391,157,71.42356687898089
139.5,391,391,158,71.5126582278481
140.0,391,391,158,71.5126582278481
140.5,391,391,158,71.5126582278481
141.0,391,391,158,71.5126582278481
141.5,391,391,158,71.5126582278481
142.0,391,391,158,71.5126582278481
142.5,391,391,159,71.93396226415095
143.0,391,391,159,71.93396226415095
143.5,391,391,164,73.38414634146342
144.0,391,391,168,74.05654761904762
144.5,391,391,172,74.70930232558139
145.0,391,391,174,75.183908045977
145.5,391,391,174,75.183908045977
146.0,391,391,174,75.183908045977
146.5,391,391,174,75.183908045977
147.0,391,391,174,75.183908045977
147.5,391,391,178,75.59550561797752
148.0,391,391,179,75.69832402234637
148.5,391,391,179,75.69832402234637
149.0,391,391,179,75.69832402234637
149.5,391,391,180,76.08611111111111
150.0,391,391,181,76.47237569060773
150.5,391,391,182,76.85714285714286
151.0,391,391,183,76.67486338797814
151.5,391,391,185,77.44054054054054
152.0,391,391,189,78.12169312169313
152.5,391,391,192,78.421875
153.0,391,391,195,78.97692307692307
153.5,391,391,196,79.08163265306122
154.0,391,391,197,79.44162436548223
154.5,391,391,197,79.44162436548223
155.0,391,391,197,79.44162436548223
155.5,391,391,197,79.44162436548223
156.0,391,391,198,79.8080808080808
156.5,391,391,199,79.92211055276383
157.0,391,391,199,79.92211055276383
157.5,391,391,200,79.7725
158.0,391,391,200,79.7725
158.5,391,391,200,79.7725
159.0,391,391,200,79.7725
159.5,391,391,201,80.14925373134328
160.0,391,391,202,80.52475247524752
160.5,391,391,202,80.52475247524752
161.0,391,391,202,80.52475247524752
161.5,391,391,202,80.52475247524752
162.0,391,391,203,80.66009852216749
162.5,391,391,203,80.66009852216749
163.0,391,391,203,80.66009852216749
163.5,391,391,204,80.53921568627452
164.0,391,391,204,80.53921568627452
164.5,391,391,204,80.53921568627452
165.0,391,391,204,80.53921568627452
165.5,391,391,204,80.53921568627452
166.0,391,391,205,80.93658536585366
166.5,391,391,206,80.83009708737865
167.0,391,391,206,80.83009708737865
167.5,391,391,206,80.83009708737865
168.0,391,391,206,80.83009708737865
168.5,391,391,207,80.73429951690821
169.0,391,391,208,81.13942307692308
169.5,391,391,208,81.13942307692308
170.0,391,391,208,81.13942307692308
170.5,391,391,209,81.30861244019138
